upgrade_id,building_id,electricity_kwh,month,day,hour
0,1,0.246,1,1,0
0,1,0.277,1,1,1
0,1,0.315,1,1,2
0,1,0.328,1,1,3
0,1,0.325,1,1,4
0,1,0.327,1,1,5
0,1,1.257,1,1,6
0,1,0.556,1,1,7
0,1,0.572,1,1,8
0,1,0.549,1,1,9
0,1,0.499,1,1,10
0,1,0.956,1,1,11
0,1,0.5880000000000001,1,1,12
0,1,1.018,1,1,13
0,1,0.7209999999999999,1,1,14
0,1,0.451,1,1,15
0,1,1.487,1,1,16
0,1,1.034,1,1,17
0,1,1.808,1,1,18
0,1,2.013,1,1,19
0,1,1.734,1,1,20
0,1,0.999,1,1,21
0,1,1.127,1,1,22
0,1,0.992,1,1,23
0,1,0.777,1,2,0
0,1,0.3419999999999999,1,2,1
0,1,0.356,1,2,2
0,1,0.7319999999999999,1,2,3
0,1,0.326,1,2,4
0,1,0.327,1,2,5
0,1,0.463,1,2,6
0,1,0.854,1,2,7
0,1,0.552,1,2,8
0,1,1.187,1,2,9
0,1,0.451,1,2,10
0,1,0.324,1,2,11
0,1,0.768,1,2,12
0,1,0.857,1,2,13
0,1,0.555,1,2,14
0,1,0.5680000000000001,1,2,15
0,1,1.019,1,2,16
0,1,1.164,1,2,17
0,1,1.287,1,2,18
0,1,2.388,1,2,19
0,1,1.281,1,2,20
0,1,0.655,1,2,21
0,1,0.7919999999999999,1,2,22
0,1,0.368,1,2,23
0,1,0.347,1,3,0
0,1,0.341,1,3,1
0,1,0.34,1,3,2
0,1,0.336,1,3,3
0,1,0.8119999999999999,1,3,4
0,1,0.847,1,3,5
0,1,1.03,1,3,6
0,1,1.518,1,3,7
0,1,1.041,1,3,8
0,1,0.778,1,3,9
0,1,0.953,1,3,10
0,1,0.49,1,3,11
0,1,1.004,1,3,12
0,1,1.073,1,3,13
0,1,0.491,1,3,14
0,1,0.614,1,3,15
0,1,1.4400000000000002,1,3,16
0,1,1.034,1,3,17
0,1,1.224,1,3,18
0,1,2.433,1,3,19
0,1,1.558,1,3,20
0,1,1.031,1,3,21
0,1,0.908,1,3,22
0,1,1.416,1,3,23
0,1,0.305,1,4,0
0,1,0.269,1,4,1
0,1,0.268,1,4,2
0,1,0.265,1,4,3
0,1,0.261,1,4,4
0,1,0.263,1,4,5
0,1,0.273,1,4,6
0,1,0.776,1,4,7
0,1,0.275,1,4,8
0,1,0.263,1,4,9
0,1,0.257,1,4,10
0,1,0.256,1,4,11
0,1,0.823,1,4,12
0,1,0.488,1,4,13
0,1,0.491,1,4,14
0,1,0.507,1,4,15
0,1,1.021,1,4,16
0,1,1.034,1,4,17
0,1,1.64,1,4,18
0,1,1.743,1,4,19
0,1,1.725,1,4,20
0,1,1.4980000000000002,1,4,21
0,1,0.955,1,4,22
0,1,0.712,1,4,23
0,1,0.279,1,5,0
0,1,0.275,1,5,1
0,1,0.312,1,5,2
0,1,0.324,1,5,3
0,1,0.77,1,5,4
0,1,0.7,1,5,5
0,1,0.969,1,5,6
0,1,0.873,1,5,7
0,1,1.079,1,5,8
0,1,1.554,1,5,9
0,1,1.483,1,5,10
0,1,1.2120000000000002,1,5,11
0,1,1.147,1,5,12
0,1,0.551,1,5,13
0,1,0.992,1,5,14
0,1,0.6020000000000001,1,5,15
0,1,1.509,1,5,16
0,1,1.5439999999999998,1,5,17
0,1,2.48,1,5,18
0,1,1.2519999999999998,1,5,19
0,1,0.8280000000000001,1,5,20
0,1,1.175,1,5,21
0,1,0.685,1,5,22
0,1,0.523,1,5,23
0,1,0.418,1,6,0
0,1,0.773,1,6,1
0,1,0.336,1,6,2
0,1,0.333,1,6,3
0,1,0.329,1,6,4
0,1,0.331,1,6,5
0,1,0.338,1,6,6
0,1,0.881,1,6,7
0,1,1.042,1,6,8
0,1,0.993,1,6,9
0,1,1.019,1,6,10
0,1,0.95,1,6,11
0,1,0.496,1,6,12
0,1,0.7939999999999999,1,6,13
0,1,1.362,1,6,14
0,1,0.996,1,6,15
0,1,1.334,1,6,16
0,1,0.88,1,6,17
0,1,1.273,1,6,18
0,1,1.364,1,6,19
0,1,1.67,1,6,20
0,1,1.282,1,6,21
0,1,0.613,1,6,22
0,1,0.363,1,6,23
0,1,0.343,1,7,0
0,1,0.7309999999999999,1,7,1
0,1,0.336,1,7,2
0,1,0.333,1,7,3
0,1,0.331,1,7,4
0,1,0.334,1,7,5
0,1,0.3419999999999999,1,7,6
0,1,0.953,1,7,7
0,1,0.7569999999999999,1,7,8
0,1,0.807,1,7,9
0,1,0.559,1,7,10
0,1,0.549,1,7,11
0,1,0.533,1,7,12
0,1,0.941,1,7,13
0,1,1.102,1,7,14
0,1,0.98,1,7,15
0,1,0.6869999999999999,1,7,16
0,1,1.002,1,7,17
0,1,1.45,1,7,18
0,1,0.995,1,7,19
0,1,1.718,1,7,20
0,1,1.536,1,7,21
0,1,0.906,1,7,22
0,1,0.99,1,7,23
0,1,0.373,1,8,0
0,1,0.337,1,8,1
0,1,0.336,1,8,2
0,1,0.333,1,8,3
0,1,0.329,1,8,4
0,1,0.7249999999999999,1,8,5
0,1,1.494,1,8,6
0,1,0.985,1,8,7
0,1,0.81,1,8,8
0,1,0.57,1,8,9
0,1,0.562,1,8,10
0,1,0.557,1,8,11
0,1,0.54,1,8,12
0,1,0.5,1,8,13
0,1,0.94,1,8,14
0,1,1.548,1,8,15
0,1,1.073,1,8,16
0,1,1.362,1,8,17
0,1,1.684,1,8,18
0,1,1.776,1,8,19
0,1,1.277,1,8,20
0,1,1.235,1,8,21
0,1,1.624,1,8,22
0,1,0.941,1,8,23
0,1,0.422,1,9,0
0,1,0.3429999999999999,1,9,1
0,1,0.344,1,9,2
0,1,0.3429999999999999,1,9,3
0,1,0.824,1,9,4
0,1,0.87,1,9,5
0,1,0.496,1,9,6
0,1,0.404,1,9,7
0,1,1.5100000000000002,1,9,8
0,1,0.572,1,9,9
0,1,1.026,1,9,10
0,1,1.118,1,9,11
0,1,1.832,1,9,12
0,1,3.894,1,9,13
0,1,1.674,1,9,14
0,1,1.127,1,9,15
0,1,1.323,1,9,16
0,1,2.032,1,9,17
0,1,1.716,1,9,18
0,1,1.813,1,9,19
0,1,1.734,1,9,20
0,1,1.832,1,9,21
0,1,1.3610000000000002,1,9,22
0,1,0.532,1,9,23
0,1,0.4279999999999999,1,10,0
0,1,0.364,1,10,1
0,1,0.345,1,10,2
0,1,0.486,1,10,3
0,1,0.593,1,10,4
0,1,0.34,1,10,5
0,1,0.391,1,10,6
0,1,0.398,1,10,7
0,1,0.4619999999999999,1,10,8
0,1,0.565,1,10,9
0,1,1.539,1,10,10
0,1,2.596,1,10,11
0,1,0.95,1,10,12
0,1,2.5940000000000003,1,10,13
0,1,1.483,1,10,14
0,1,1.174,1,10,15
0,1,0.752,1,10,16
0,1,0.8639999999999999,1,10,17
0,1,2.087,1,10,18
0,1,4.552,1,10,19
0,1,4.422,1,10,20
0,1,1.817,1,10,21
0,1,1.727,1,10,22
0,1,0.946,1,10,23
0,1,0.377,1,11,0
0,1,0.341,1,11,1
0,1,0.34,1,11,2
0,1,0.338,1,11,3
0,1,0.337,1,11,4
0,1,0.336,1,11,5
0,1,0.346,1,11,6
0,1,0.354,1,11,7
0,1,0.463,1,11,8
0,1,0.7199999999999999,1,11,9
0,1,0.316,1,11,10
0,1,0.286,1,11,11
0,1,0.263,1,11,12
0,1,0.32,1,11,13
0,1,0.87,1,11,14
0,1,0.7470000000000001,1,11,15
0,1,0.834,1,11,16
0,1,1.432,1,11,17
0,1,1.669,1,11,18
0,1,1.308,1,11,19
0,1,1.222,1,11,20
0,1,0.8259999999999998,1,11,21
0,1,0.91,1,11,22
0,1,0.787,1,11,23
0,1,0.339,1,12,0
0,1,0.337,1,12,1
0,1,0.335,1,12,2
0,1,0.334,1,12,3
0,1,0.726,1,12,4
0,1,0.335,1,12,5
0,1,1.226,1,12,6
0,1,0.4479999999999999,1,12,7
0,1,0.338,1,12,8
0,1,0.322,1,12,9
0,1,0.313,1,12,10
0,1,0.6990000000000001,1,12,11
0,1,0.259,1,12,12
0,1,0.263,1,12,13
0,1,0.323,1,12,14
0,1,0.507,1,12,15
0,1,1.061,1,12,16
0,1,1.4540000000000002,1,12,17
0,1,3.156,1,12,18
0,1,1.277,1,12,19
0,1,1.774,1,12,20
0,1,1.446,1,12,21
0,1,1.267,1,12,22
0,1,1.092,1,12,23
0,1,0.8099999999999999,1,13,0
0,1,0.352,1,13,1
0,1,0.336,1,13,2
0,1,0.333,1,13,3
0,1,0.829,1,13,4
0,1,0.8400000000000001,1,13,5
0,1,0.484,1,13,6
0,1,0.557,1,13,7
0,1,1.122,1,13,8
0,1,0.508,1,13,9
0,1,0.496,1,13,10
0,1,0.984,1,13,11
0,1,0.548,1,13,12
0,1,0.843,1,13,13
0,1,0.491,1,13,14
0,1,0.596,1,13,15
0,1,4.532,1,13,16
0,1,2.658,1,13,17
0,1,0.8640000000000001,1,13,18
0,1,1.25,1,13,19
0,1,1.18,1,13,20
0,1,0.67,1,13,21
0,1,0.407,1,13,22
0,1,0.763,1,13,23
0,1,0.275,1,14,0
0,1,0.269,1,14,1
0,1,0.659,1,14,2
0,1,0.264,1,14,3
0,1,0.261,1,14,4
0,1,0.297,1,14,5
0,1,0.374,1,14,6
0,1,0.861,1,14,7
0,1,1.194,1,14,8
0,1,0.8480000000000001,1,14,9
0,1,1.146,1,14,10
0,1,0.956,1,14,11
0,1,0.992,1,14,12
0,1,1.081,1,14,13
0,1,0.987,1,14,14
0,1,0.884,1,14,15
0,1,0.829,1,14,16
0,1,1.536,1,14,17
0,1,1.285,1,14,18
0,1,1.836,1,14,19
0,1,1.281,1,14,20
0,1,1.098,1,14,21
0,1,1.188,1,14,22
0,1,0.527,1,14,23
0,1,0.7949999999999999,1,15,0
0,1,0.345,1,15,1
0,1,0.344,1,15,2
0,1,0.344,1,15,3
0,1,0.855,1,15,4
0,1,0.709,1,15,5
0,1,0.353,1,15,6
0,1,0.361,1,15,7
0,1,0.527,1,15,8
0,1,0.894,1,15,9
0,1,0.561,1,15,10
0,1,0.6250000000000001,1,15,11
0,1,1.312,1,15,12
0,1,4.2940000000000005,1,15,13
0,1,1.609,1,15,14
0,1,0.5670000000000001,1,15,15
0,1,0.974,1,15,16
0,1,1.024,1,15,17
0,1,1.306,1,15,18
0,1,1.641,1,15,19
0,1,1.187,1,15,20
0,1,1.324,1,15,21
0,1,1.344,1,15,22
0,1,0.5389999999999999,1,15,23
0,1,0.4489999999999999,1,16,0
0,1,0.353,1,16,1
0,1,0.7919999999999999,1,16,2
0,1,0.349,1,16,3
0,1,0.345,1,16,4
0,1,0.347,1,16,5
0,1,0.397,1,16,6
0,1,0.5750000000000001,1,16,7
0,1,0.586,1,16,8
0,1,0.575,1,16,9
0,1,0.956,1,16,10
0,1,0.552,1,16,11
0,1,0.548,1,16,12
0,1,0.548,1,16,13
0,1,0.551,1,16,14
0,1,0.983,1,16,15
0,1,0.617,1,16,16
0,1,1.971,1,16,17
0,1,1.998,1,16,18
0,1,1.4980000000000002,1,16,19
0,1,1.177,1,16,20
0,1,1.159,1,16,21
0,1,0.6949999999999998,1,16,22
0,1,0.5349999999999999,1,16,23
0,1,0.75,1,17,0
0,1,0.353,1,17,1
0,1,0.353,1,17,2
0,1,0.353,1,17,3
0,1,0.349,1,17,4
0,1,0.355,1,17,5
0,1,0.8109999999999999,1,17,6
0,1,0.5840000000000001,1,17,7
0,1,1.2579999999999998,1,17,8
0,1,0.584,1,17,9
0,1,0.571,1,17,10
0,1,0.98,1,17,11
0,1,0.559,1,17,12
0,1,0.56,1,17,13
0,1,0.5640000000000001,1,17,14
0,1,1.133,1,17,15
0,1,1.606,1,17,16
0,1,1.688,1,17,17
0,1,1.761,1,17,18
0,1,1.455,1,17,19
0,1,0.534,1,17,20
0,1,0.409,1,17,21
0,1,0.841,1,17,22
0,1,0.396,1,17,23
0,1,0.375,1,18,0
0,1,0.371,1,18,1
0,1,0.369,1,18,2
0,1,0.368,1,18,3
0,1,0.365,1,18,4
0,1,0.7609999999999999,1,18,5
0,1,0.503,1,18,6
0,1,0.5930000000000001,1,18,7
0,1,1.017,1,18,8
0,1,1.133,1,18,9
0,1,1.242,1,18,10
0,1,0.883,1,18,11
0,1,1.6350000000000002,1,18,12
0,1,0.886,1,18,13
0,1,0.591,1,18,14
0,1,1.216,1,18,15
0,1,1.3170000000000002,1,18,16
0,1,1.049,1,18,17
0,1,1.779,1,18,18
0,1,1.39,1,18,19
0,1,1.307,1,18,20
0,1,0.8740000000000001,1,18,21
0,1,1.067,1,18,22
0,1,0.4,1,18,23
0,1,0.379,1,19,0
0,1,0.373,1,19,1
0,1,0.372,1,19,2
0,1,0.369,1,19,3
0,1,0.362,1,19,4
0,1,0.363,1,19,5
0,1,0.93,1,19,6
0,1,0.815,1,19,7
0,1,0.549,1,19,8
0,1,0.6,1,19,9
